fault_type,phases,location_km,r_fault,fault_start,Vrms_a,Vrms_b,Vrms_c,Irms_a,Irms_b,Irms_c,Vrms_unbalance,Irms_unbalance,Vseq0,Vseq1,Vseq2,Iseq0,Iseq1,Iseq2,Vseq0_ratio,Vseq2_ratio,Iseq0_ratio,Iseq2_ratio,Vh2_energy,Ih2_energy,Vh3_energy,Ih3_energy,Vh5_energy,Ih5_energy,Vdwt_L1,Vdwt_L2,Vdwt_L3,Idwt_L1,Idwt_L2,Idwt_L3,Zmag_a,Zang_a,Zmag_b,Zang_b,Zmag_c,Zang_c
LG,B,80.0084557704662,4.17651247794619,0.0926705942152179,123557.944302119,109222.940267296,122021.379598082,277.965109291448,2614.88582224532,245.493576981292,0.121208392525376,2.26494468969366,157131.977406218,4264932.75785834,158331.404887525,34477.8915878346,39273.167321357,35870.3800400727,0.036842779553009,0.0371240096566012,0.877899439707462,0.9133559243044,261662.41609934,9640.62917755011,133791.089215941,6207.4489370803,70076.2914227617,3662.67669527509,252512786.376045,77225033.2304722,26027328.9339355,5146.06962098657,2752.1830998269,972.299125119718,445.131153910531,-0.15373647888771,36.258780896123,1.21493001656282,496.408530831934,0.306214549364547
LG,A,7.32229604989986,10.6623943799484,0.0935512872368457,94455.5088161546,121923.723593037,122486.341432344,8071.91195097414,278.253147526422,277.073513632096,0.248158869886108,2.7105446313967,507064.605991385,4055850.40128222,523969.821763826,95952.8884735838,104870.04407211,96597.8728285113,0.125020539670535,0.129188646010723,0.914969468370685,0.921119788613498,332348.664470564,19433.5314586202,189772.219559811,12869.6303839483,107198.116047451,7852.86210237041,3198326.3334582,7836270.06221088,11131680.468344,20631.0227744201,677621.646314421,5387398.09404493,11.4971066136084,0.335207675258911,439.057049212248,0.160137490721564,442.029624442033,0.0122876105166444
LG,C,24.2529321804391,0.567367606202945,0.0987345997747347,130353.657406925,131870.312163594,93026.5876852777,340.484617286946,392.927724684043,7260.95602341201,0.328025307923884,2.59700494919457,453897.999641096,4270476.8311081,467047.978708793,92792.5885995067,99640.879479784,94780.4236788216,0.106287428217521,0.109366704745122,0.931270268619035,0.951220263938961,268844.658744871,15976.6625900138,139827.934840451,10004.742559312,74683.2230324774,5855.74540160049,103890509.852661,642624157.081289,3856014436.95476,4008.6568432641,32780.8900985689,22559.7394460118,384.033690598924,0.363515924289903,332.734694849681,0.018719300094932,11.6921146748226,1.33031167080259
LG,A,82.7281136239247,11.0463072725113,0.0963444440040243,118491.54013242,131266.246243855,132789.066441104,2601.89745108294,229.538998499371,249.584725175448,0.112123727093346,2.30997287819041,154909.61657328,4599038.43836993,142758.571010274,34322.0667688715,38769.7734097546,35385.681881562,0.0336830445427093,0.0310409606102015,0.88527901376258,0.912713146570677,271249.09238931,13590.881127894,135739.585656252,8915.44614020941,69324.0212906723,5311.75423284607,340304361.820143,479546679.313088,4041041542.97549,6822.78501794191,15708.9004838699,54760.870659523,39.8574273751049,1.09333668839502,567.438702011278,0.215115495065857,537.666097700673,-0.232232390423641
LG,C,53.8893404457725,27.4277564988144,0.086780595820974,129273.588415979,130149.92438363,118350.101166702,363.51511428959,344.934391427665,2904.14595440304,0.0937055112950818,2.12524063856703,165739.576030015,4543982.30544222,194399.47767751,31486.7049776204,42206.8681469853,32856.4820535387,0.0364745205612874,0.0427817417872952,0.746009035004018,0.778462925473114,292465.745107505,4977.42390051928,152399.75878525,3022.6418620456,80855.4245725864,1743.82618182733,129589194.940226,353057182.885581,4635727028.01857,950.341548221427,4240.34494746483,32825.7810609569,357.169057523617,0.264531480316122,376.992754008321,-0.0557325442807977,39.9116000932538,0.734633806727077
LG,B,130.797586393791,5.22992629041574,0.0832325742818923,129738.695544983,119505.135939104,128351.137439112,256.023679006386,1854.49046441578,223.762327432312,0.0813058471222291,2.09580333167312,106032.533105395,4538617.21240223,96994.2016628817,25041.8764909542,28984.0983891302,26242.9165928583,0.0233622991636366,0.0213708707131797,0.863986733480092,0.905424631107197,280308.964801968,7497.98667211982,143748.728457938,4865.09994508066,75193.846734679,2884.48267339345,118683666.099045,174360294.053468,210741858.237046,6120.95892116559,3317.28595840481,2975.12500135262,508.28120887546,-0.220654515248063,54.5858292083599,1.22275226588171,570.970305143075,0.271360083740669
LG,A,101.865327676977,10.606732736514,0.0909746757873317,113207.746462888,123232.889174615,122938.516119195,2583.24391516239,316.294727761521,337.620078391867,0.0836871810396237,2.10086935531407,121781.099874773,4316395.49218152,143699.621852157,29204.2928057623,33619.1871895806,30221.5892547911,0.0282136101975206,0.0332915790762021,0.868679324107657,0.89893872458816,261201.305618742,12169.3007750072,134391.87547822,8266.31106101822,70970.2856531737,5007.30598367818,208037253.890768,179679115.962551,1052854950.71132,15601.0857409595,86432.1721212064,975763.722085873,44.259958330955,1.38150713492754,383.117485364046,0.36792792076054,363.507346321388,-0.110831707461807
LG,A,123.891277469185,19.2077150833868,0.0929926579809443,117347.476444118,124565.583750448,125107.060218474,1829.01421827787,224.078080482886,234.074488024791,0.0634263628290511,2.10514092583357,101420.67429771,4410705.11080477,133723.114744326,19782.6021362161,23008.2585255968,20422.5504883418,0.0229942088055807,0.030317854262512,0.859804409505748,0.887618263882686,273711.39012659,3538.87987871267,140602.120448402,2502.83193507438,73102.4697493358,1533.29124853953,336751241.416121,191765174.997453,132714020.256482,14170.9705487333,56614.8936567534,565446.312195065,67.1173860639034,1.22591855947844,555.104609290953,0.230393299670986,533.046384718278,-0.254009860495283
LG,A,60.0336814533465,74.1797038198084,0.0994602110950489,121924.546332442,127060.996732474,126581.272486579,1674.21267272982,325.512261736843,296.949082452126,0.0410295866458472,1.79903231150722,84090.7209143101,4511702.51374295,97540.1071407335,16375.8811004933,27263.1947472213,17140.9195406204,0.0186383567307786,0.0216193569597282,0.60065891953333,0.628720137126949,262810.89317875,2572.55293685466,129565.576260682,1806.73409628702,64693.9728364393,1146.61985638335,99131745.0304784,315670271.294434,3347257089.33971,6389.12268136404,48899.8412684687,563579.106410199,73.1151112406072,0.401505546057497,384.874557813021,0.163523660076446,428.084801929758,-0.00730011144654783
LG,B,106.143296136611,0.121579832157269,0.0839048597559609,123233.862326499,111461.679959771,122176.042085918,341.515785287491,2407.38807069577,293.688029338512,0.0989614994480892,2.08411129616512,124808.426660236,4286945.87720918,110373.574955712,32803.611144672,38364.5890507311,34647.0064956748,0.02911359980627,0.0257464353684679,0.85504919915705,0.903098595659569,261644.673226521,7431.37831515233,133325.681927221,4832.34348662941,69278.775056667,2868.85972288773,161354685.238951,125676941.052274,876237136.668498,3907.69759086722,2334.50855869416,5927.70638291985,358.95956013525,-0.0808549392489694,38.7199949902171,1.34075722872161,414.515352903622,0.400903282200708
LG,C,56.8222180357622,4.64159281293863,0.098297287804409,131605.208218627,133209.566496191,113561.927015184,282.190361918863,313.728924252014,3646.80917409205,0.155778403302991,2.37909555700313,225894.519623786,4550499.71419437,245299.046307743,44398.6392576599,49747.9960782901,45873.3199899128,0.0496416951569305,0.0539059579638094,0.892470908514502,0.9221139262936,284118.411148091,8249.0772092856,147516.120585272,5130.90316022237,78417.7566029188,2988.25116377367,124908413.634209,662652734.081145,4680828755.12521,2413.03933720392,5833.22330239735,11333.9694002132,467.662921441596,0.311181069812461,423.404764077057,-0.124673734712177,29.2751375662881,1.23200970846593
LG,C,58.9136820042695,52.1845403609394,0.0858889778413917,127309.158479352,127243.795284852,121180.085028189,236.059790553389,211.951904049813,1994.62305081257,0.0489369271662604,2.18944459205653,114597.655758858,4518488.68399109,143950.891400658,21738.6140562247,28691.3606076335,22280.4172840454,0.0253619437323921,0.0318581945132764,0.75767107572038,0.776554921460956,292060.478518995,2908.61631899869,154017.823274697,1770.23388016297,83192.7877382287,1038.37326111282,88501992.9163343,348490365.719266,3452838298.80616,1253.9044733796,1785.36851858595,5400.1742626714,539.970453789942,0.0711703712102434,602.307378964074,-0.173582100715764,59.8126104262942,0.509734307062696
LG,C,18.6047091279076,29.7513462526066,0.0914012234017873,127371.990064812,127468.368066324,116700.573639436,217.358372833811,204.569107276498,3768.51091196823,0.0869443458799081,2.55148135016905,223722.855844852,4453665.23858156,211203.815805994,43271.3169848717,50251.5704935809,43698.7188035779,0.0502334243505143,0.0474224721643454,0.861093823715183,0.869599066725493,247322.144281667,7224.96019839432,118434.6186281,5286.69971909527,56833.1862713481,3474.96088476745,37116551.2332716,217946224.881719,573589428.686455,1887.80841950372,10493.3840191191,3543.17779998174,579.501500560466,0.0251092912529221,626.796132772676,-0.117454207884892,30.9624245718848,0.302662410491966
